;rank;population_name;population_size;sample_name;sample_size;sample_mean
0;0;Population 100;100;sample_0;5;0.4412947184625245
1;1;Population 100;100;sample_1;10;0.5841727332859314
2;2;Population 100;100;sample_2;15;-0.003945477504427553
3;3;Population 100;100;sample_3;20;-0.18655278580330398
4;4;Population 100;100;sample_4;25;0.020457280060502417
5;5;Population 100;100;sample_5;30;-0.015642788757980794
6;6;Population 100;100;sample_6;35;-0.03273648832890422
7;7;Population 100;100;sample_7;40;-0.019534157615429405
8;8;Population 100;100;sample_8;45;-0.012801754907262418
9;9;Population 100;100;sample_9;50;-0.14663021140427784
10;10;Population 100;100;sample_10;55;0.07115783143134823
11;11;Population 100;100;sample_11;60;0.1136672502089913
12;12;Population 100;100;sample_12;65;-0.07656771713033024
13;13;Population 100;100;sample_13;70;0.11287340360226578
14;14;Population 100;100;sample_14;75;0.04873756352521077
15;15;Population 100;100;sample_15;80;0.15113918335012477
16;16;Population 100;100;sample_16;85;0.18401348970428544
17;17;Population 100;100;sample_17;90;0.03658388478927489
18;18;Population 100;100;sample_18;95;-0.10231397518662559
19;19;Population 600;600;sample_19;5;0.12109205223793418
20;20;Population 600;600;sample_20;10;-0.03194689106852646
21;21;Population 600;600;sample_21;15;-0.148092894936147
22;22;Population 600;600;sample_22;20;-0.013286771210385708
23;23;Population 600;600;sample_23;25;0.02927664350189463
24;24;Population 600;600;sample_24;30;0.17008549354783742
25;25;Population 600;600;sample_25;35;-0.06700729886234222
26;26;Population 600;600;sample_26;40;0.07704311481323362
27;27;Population 600;600;sample_27;45;-0.04793266011307457
28;28;Population 600;600;sample_28;50;0.09636974869852928
29;29;Population 600;600;sample_29;55;-0.045522105679571725
30;30;Population 600;600;sample_30;60;0.03349684553582087
31;31;Population 600;600;sample_31;65;0.23272347751887157
32;32;Population 600;600;sample_32;70;0.1418261010233173
33;33;Population 600;600;sample_33;75;0.1703929064823346
34;34;Population 600;600;sample_34;80;-0.2675491403836922
35;35;Population 600;600;sample_35;85;0.0481140917593852
36;36;Population 600;600;sample_36;90;-0.011747777078220285
37;37;Population 600;600;sample_37;95;-0.19321216526374962
38;38;Population 600;600;sample_38;100;0.20715634603458558
39;39;Population 600;600;sample_39;105;0.11345840519634433
40;40;Population 600;600;sample_40;110;-0.03318097504615135
41;41;Population 600;600;sample_41;115;-0.003317194401836409
42;42;Population 600;600;sample_42;120;-0.04420199162825952
43;43;Population 600;600;sample_43;125;0.04291104320729855
44;44;Population 600;600;sample_44;130;-0.019662495336027687
45;45;Population 600;600;sample_45;135;0.0013774118985931095
46;46;Population 600;600;sample_46;140;-0.14377096284734509
47;47;Population 600;600;sample_47;145;-0.08481253666755748
48;48;Population 600;600;sample_48;150;0.1252661975932098
49;49;Population 600;600;sample_49;155;-0.022615029030918346
50;50;Population 600;600;sample_50;160;0.10250999354163212
51;51;Population 600;600;sample_51;165;0.12440455438076643
52;52;Population 600;600;sample_52;170;-0.048934903997032896
